Field Names
wife_father 
wife_address 
husband_age 
marriage_children 
wife_mother 
wife_addressyear 
wife_revenue 
husband_mother 
husband_employer 
marriage_end 
husband_father 
wife_employer 
husband_work 
husband_revenue 
wife_work 
wife_DOB 
husband_address 
husband_POB 
wife_POB 
marriage_date 
wife_age 
husband_addressyear 
husband_DOB 
